path_id,t,S,VS,delta_S,delta_V,gain_S,gain_V,tc,cum_pnl
119,18,99.4783,23.6450,0.2321,-0.2749,1.1404,-0.6759,0.0002,7.9758
119,19,101.8146,19.6664,0.3362,-0.0170,-1.2770,-0.5322,0.0001,6.1665
119,20,96.3121,21.6025,0.2589,-0.1586,1.9419,0.1368,0.0001,8.2451
119,21,102.0882,13.5438,0.5156,0.2893,-0.0210,-0.2978,0.0001,7.9262
119,22,102.0071,15.4222,0.4902,0.1916,1.3426,-1.2574,0.0000,8.0113
119,23,104.6110,11.0764,0.6474,0.5148,1.3583,-0.1504,0.0001,9.2192
119,24,107.3821,10.2917,0.7128,0.6201,-0.0278,0.4588,0.0000,9.6501
119,25,107.3391,11.1828,0.6885,0.5636,1.0602,-1.9126,0.0000,8.7976
119,26,108.8265,8.0985,0.7945,0.8047,-0.6669,-0.3054,0.0001,7.8253
119,27,107.8579,7.5567,0.8314,0.9126,2.3260,0.2319,0.0000,10.3832
119,28,110.7857,7.8449,0.8404,0.9184,2.6307,-2.5206,0.0000,10.4933
119,29,113.9497,5.0829,0.9659,1.2026,1.7543,-3.1135,0.0001,9.1341
120,0,100.0000,13.3333,0.5460,0.3838,-0.0000,-0.0000,0.0002,-0.0002
120,1,99.5375,12.8745,0.6017,0.4815,-0.5736,0.2870,0.0000,-0.2868
120,2,98.4868,13.6223,0.5730,0.4275,0.1624,0.2976,0.0000,0.1731
120,3,98.7567,14.2405,0.5569,0.3724,1.8470,-0.7966,0.0000,1.2235
120,4,101.9801,12.3772,0.6220,0.5046,-0.0780,-1.7752,0.0000,-0.6297
120,5,101.8400,7.6101,0.8097,1.0562,0.7730,-0.0207,0.0001,0.1226
120,6,103.0829,7.5692,0.8685,1.3086,0.3732,2.1944,0.0000,2.6902
120,7,103.5438,9.6469,0.7910,1.1361,6.2836,-2.5452,0.0000,6.4285
120,8,110.7788,7.7020,0.8942,1.3149,2.3656,1.2536,0.0000,10.0477
120,9,113.7692,8.8054,0.8770,1.2560,0.3158,1.8344,0.0000,12.1979
120,10,114.1224,10.2004,0.8057,1.0214,-5.2373,2.2350,0.0001,9.1955
